seq,cycles,kind,pc,addr,value,aux,r0,r1,r2,r3,r4,r5,r12,sp,lr
80,24073287,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
81,24354183,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
82,24635079,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
83,24915975,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
84,25196871,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
85,25477767,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
86,25758663,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
87,26039559,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
88,26320455,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
89,26601351,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
90,26882247,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
91,27163143,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
92,27444039,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
93,27724935,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
94,28005831,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
95,28286727,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
96,28567623,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
97,28848519,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
98,29129415,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
